iter	Passed	Remaining
0	106	106254
1	107	53826
2	109	36339
3	110	27608
4	112	22365
5	113	18793
6	114	16234
7	115	14319
8	116	12806
9	116	11581
10	117	10577
11	118	9740
12	118	9033
13	119	8422
14	120	7894
15	120	7430
16	121	7049
17	123	6725
18	124	6403
19	124	6109
20	125	5841
21	126	5604
22	126	5386
23	127	5188
24	128	5010
25	129	4845
26	130	4690
27	131	4547
28	131	4416
29	132	4296
30	133	4183
31	134	4074
32	137	4017
33	138	3927
34	139	3837
35	140	3755
36	141	3671
37	142	3594
38	142	3523
39	144	3456
40	145	3393
41	146	3333
42	147	3274
43	148	3216
44	148	3161
45	149	3109
46	151	3074
47	152	3027
48	153	2984
49	154	2940
50	155	2897
51	156	2853
52	157	2811
53	158	2770
54	158	2731
55	159	2693
56	160	2657
57	161	2622
58	162	2588
59	163	2555
60	163	2523
61	164	2493
62	166	2477
63	167	2450
64	168	2424
65	169	2399
66	170	2375
67	171	2350
68	172	2325
69	173	2300
70	173	2276
71	174	2253
72	175	2230
73	176	2208
74	177	2186
75	178	2166
76	178	2145
77	179	2127
78	181	2118
79	182	2100
80	183	2081
81	184	2063
82	184	2041
83	185	2024
84	186	2007
85	187	1990
86	188	1974
87	189	1959
88	189	1944
89	190	1929
90	191	1914
91	192	1899
92	193	1885
93	194	1871
94	194	1857
95	196	1849
96	197	1836
97	198	1823
98	198	1810
99	199	1797
100	200	1785
101	201	1773
102	202	1761
103	203	1750
104	203	1738
105	204	1726
106	205	1716
107	206	1705
108	207	1694
109	208	1684
110	209	1675
111	210	1666
112	212	1664
113	213	1655
114	213	1646
115	214	1637
116	215	1627
117	216	1619
118	217	1611
119	218	1602
120	219	1593
121	219	1583
122	220	1574
123	221	1566
124	222	1558
125	223	1550
126	224	1541
127	225	1533
128	226	1530
129	227	1524
130	228	1517
131	229	1510
132	230	1503
133	231	1495
134	232	1488
135	233	1481
136	234	1474
137	234	1467
138	235	1460
139	236	1453
140	237	1447
141	238	1439
142	239	1432
143	239	1426
144	241	1424
145	242	1419
146	243	1414
147	244	1408
148	245	1402
149	246	1396
150	247	1390
151	248	1383
152	248	1377
153	249	1371
154	250	1364
155	251	1358
156	251	1352
157	252	1346
158	253	1341
159	254	1335
160	254	1328
161	255	1322
162	257	1321
163	258	1316
164	259	1312
165	260	1307
166	261	1302
167	261	1297
168	262	1292
169	263	1287
170	264	1282
171	265	1277
172	266	1272
173	267	1267
174	267	1262
175	268	1258
176	269	1253
177	270	1248
178	272	1248
179	273	1244
180	274	1240
181	275	1237
182	276	1233
183	277	1229
184	277	1224
185	278	1219
186	279	1215
187	280	1211
188	281	1207
189	282	1203
190	283	1199
191	283	1195
192	284	1190
193	286	1189
194	287	1186
195	288	1182
196	289	1179
197	290	1175
198	291	1171
199	292	1168
200	292	1164
201	293	1160
202	294	1156
203	295	1152
204	296	1148
205	297	1145
206	298	1141
207	298	1138
208	299	1134
209	300	1130
210	301	1129
211	302	1125
212	303	1122
213	304	1118
214	305	1115
215	306	1112
216	307	1109
217	308	1106
218	309	1103
